time,e2sp_co,e2sp_co_2,e2sp_co_3,e2sp_co_4,e2sp_co_ae,e2sp_co_we,e2sp_no2,e2sp_no2_2,e2sp_no2_3,e2sp_no2_ae,e2sp_no2_we,e2sp_ox,e2sp_ox_2,e2sp_ox_3,e2sp_ox_4,e2sp_ox_ae,e2sp_ox_we,e2sp_so2,e2sp_so2_2,e2sp_so2_3,e2sp_so2_ae,e2sp_so2_we,e2sp_temp,e2sp_umid,iag_ambienttemp,iag_co,iag_internalrh,iag_internaltemp,iag_no,iag_no2,iag_nox,iag_o3,iag_so2,pin_umid,pin_temp
2023-06-01 11:55:00,10.791773073601,6.01311275645512,5.13507866662395,,0.2378309965133667,0.4642343521118164,8.69665068964804,3.05163472147156,,0.2239134013652801,0.2350440025329589,7.68970157057372,7.66774436180657,7.68194488856287,7.01465020926747,0.2305671870708465,0.2347503900527954,11.1648045901594,4.50493824117876,1.15705670981571,0.3333867788314819,0.3519967794418335,22.5,61.7,-73.72333333333333,1.7423333333333335,63.47333333333333,21.599999999999998,4.501,16.226666666666667,20.633333333333333,18.493333333333332,18.246666666666666,65.0,21.241666666666667
2023-06-01 12:00:00,8.12825536924945,17.27336202106396,12.873509665822823,,0.25827834010124207,0.4288906902074814,6.532367583244074,3.4435261458019406,,0.2239141166210174,0.23267451673746103,7.68970157057372,7.66774436180657,7.68194488856287,7.01465020926747,0.2306677252054214,0.2324685528874397,11.1648045901594,6.892491606538515,3.2699077704857102,0.3333867788314819,0.3519967794418335,22.25,61.3,-73.752,1.6751999999999998,41.842,20.716,5.6576,16.978,22.59,17.974,20.16,62.0,21.3
2023-06-01 12:05:00,5.4647376648979,28.5336112856728,20.6119406650217,,0.2787256836891174,0.3935470283031463,4.368084476840109,3.835417570132321,,0.2239148318767547,0.2303050309419632,7.68970157057372,7.66774436180657,7.68194488856287,7.01465020926747,0.2307682633399963,0.230186715722084,11.1648045901594,9.28004497189827,5.38275883115571,0.3333867788314819,0.3519967794418335,22.0,60.9,-73.694,1.6425999999999998,65.99,19.616,4.8238,15.418000000000001,20.178,19.034,17.834,62.0,21.275000000000002
2023-06-01 12:10:00,6.062150668178375,32.4300314658136,11.71797756977972,,0.27480523288249964,0.40347176790237427,2.2038013704361434,4.227308994462701,,0.22335504740476606,0.2309972196817398,7.690102718403121,9.543315093718917,6.883626376260675,8.060942910096975,0.2296846061944961,0.23054341226816175,11.546423328333852,9.573375724689125,5.671209343548475,0.33293646574020386,0.35238297283649445,21.45,63.349999999999994,-73.67999999999999,1.6258,75.104,20.696,2.8804,13.831999999999999,16.598000000000003,21.742,14.331999999999999,62.0,21.25
2023-06-01 12:15:00,6.65956367145885,36.3264516459544,2.82401447453774,,0.2708847820758819,0.4133965075016022,0.0395182640321793,4.619200418793082,,0.2227952629327774,0.2316894084215164,7.690503866232523,11.418885825631264,6.085307863958478,9.107235610926478,0.2286009490489959,0.2309001088142395,11.9280420665083,9.86670647747998,5.95965985594124,0.3324861526489258,0.3527691662311554,20.9,65.8,-73.708,1.6039999999999999,62.414,21.52,3.4014,16.356,19.706,18.106,17.37,62.0,21.225
2023-06-01 12:20:00,6.3598230784917975,29.51337818279865,5.174193513623272,,0.27136459350585934,0.40395535826683043,4.45937539025934,5.011091843123463,,0.22318336367607117,0.23180989921092984,7.690905014061925,13.294456557543612,5.286989351656283,10.153528311755982,0.2295841693878173,0.23199899196624754,11.910214933855741,9.853473124715492,5.946680430708254,0.33250958323478697,0.3527549564838409,21.06,64.7,-73.774,1.6268,39.438,20.104,3.7248000000000006,16.288,19.924,18.413999999999998,17.6,62.0,21.2
2023-06-01 12:25:00,6.060082485524746,22.7003047196429,7.524372552708804,,0.2718444049358367,0.3945142090320587,8.8792325164865,5.402983267453843,,0.22357146441936493,0.23193039000034327,7.691306161891326,15.170027289455959,4.4886708393540875,11.199821012585486,0.23056738972663873,0.23309787511825558,11.892387801203181,9.840239771951005,5.9337010054752675,0.3325330138206482,0.35274074673652644,21.22,63.599999999999994,-73.744,1.6156,72.248,19.497999999999998,6.6176,16.342000000000002,22.908,17.346,20.484,62.0,21.175
2023-06-01 12:30:00,5.760341892557694,15.887231256487151,9.874551591794335,,0.27232421636581416,0.38507305979728695,13.299089642713659,,,0.22395956516265866,0.23205088078975672,7.691707309720727,17.045598021368306,3.6903523270518916,12.246113713414992,0.23155061006546016,0.23419675827026362,11.87456066855062,9.827006419186516,5.920721580242282,0.3325564444065094,0.352726536989212,21.38,62.5,-73.77000000000001,1.6296,75.858,20.702,2.6258,13.738,16.274,19.218,14.034,62.0,21.15
2023-06-01 12:35:00,5.4606012995906426,9.074157793331402,12.224730630879868,,0.27280402779579155,0.3756319105625152,17.71894676894082,,,0.22434766590595243,0.23217137157917014,7.692108457550129,18.921168753280654,2.892033814749696,13.292406414244496,0.23253383040428158,0.23529564142227166,11.85673353589806,9.813773066422028,5.907742155009296,0.3325798749923706,0.35271232724189755,21.54,61.4,-73.81800000000001,1.6179999999999999,55.362,21.31,2.3346,12.129999999999999,14.419999999999998,20.1,12.236,62.0,21.125
2023-06-01 12:40:00,5.16086070662359,2.26108433017565,14.5749096699654,,0.273283839225769,0.3661907613277435,22.13880389516798,6.578657540444985,,0.2247357666492462,0.2322918623685836,,20.796739485193,2.0937153024475,14.338699115074,0.233517050743103,0.2363945245742797,11.8389064032455,9.80053971365754,5.89476272977631,0.3326033055782318,0.3526981174945831,21.7,60.3,-73.814,1.559,47.108,19.354,2.3934,12.042,14.372,20.542,12.192,62.0,21.1
2023-06-01 12:45:00,5.34754434236153,2.5294194984306246,17.2906114050179,,0.2748245298862457,0.3775894492864609,26.55866102139514,6.970548964775366,,0.22471633553504938,0.23303516954183573,,20.521141491021744,2.2092289023801905,14.275505197868565,0.2329612374305725,0.23743905872106547,11.75835175349785,9.246426772875534,5.983186991050318,0.33293406665325165,0.3529937267303466,21.7,61.65,-73.834,1.5538,76.96600000000001,19.868000000000002,1.5564,12.187999999999999,13.724,20.413999999999998,11.518,62.0,21.075
2023-06-01 12:50:00,5.53422797809947,2.7977546666856,20.0063131400704,,0.2763652205467224,0.3889881372451782,30.9785181476223,7.362440389105747,,0.2246969044208526,0.2337784767150879,,20.24554349685049,2.3247425023128807,14.21231128066313,0.232405424118042,0.2384835928678512,11.6777971037502,8.692313832093527,6.0716112523243275,0.3332648277282715,0.3532893359661102,21.7,63.0,-73.838,1.5757999999999999,71.40599999999999,20.869999999999997,4.998600000000001,14.376,19.344,18.494,17.02,62.0,21.05
2023-06-01 12:55:00,5.512949147281343,7.091005077185617,20.1151901368595,,0.2769490430752436,0.3899671832720438,23.68550151394253,7.754331813436127,,0.2248492340246836,0.23374319076538086,,19.969945502679234,2.4402561022455713,14.149117363457695,0.23295159141222635,0.23856456329425169,10.601451276088513,8.13820089131152,6.160035513598336,0.3325025737285614,0.352880706389745,16.275,47.25,-73.91600000000001,1.6144000000000003,47.69199999999999,20.944,3.2378,14.882,18.032,16.122,15.734,62.0,21.025
2023-06-01 13:00:00,5.491670316463217,11.384255487685634,20.2240671336486,,0.27753286560376483,0.3909462292989095,16.39248488026276,8.146223237766508,,0.22500156362851456,0.23370790481567383,,19.69434750850798,2.5557697021782615,14.08592344625226,0.23349775870641074,0.2386455337206522,9.525105448426824,7.584087950529513,6.2484597748723445,0.3317403197288513,0.3524720768133799,10.85,31.5,-73.91742042755345,1.6146660332541571,47.65654631828978,20.945501187648453,3.2369296912114014,14.877610451306413,18.026688836104512,16.112750593824227,15.729767220902612,64.0,21.0
